time,count
"2007-02-01T00:00:00Z",474
"2007-02-02T00:00:00Z",482
"2007-02-03T00:00:00Z",479
"2007-02-04T00:00:00Z",490
"2007-02-05T00:00:00Z",487
"2007-02-06T00:00:00Z",472
"2007-02-07T00:00:00Z",492
"2007-02-08T00:00:00Z",485
"2007-02-09T00:00:00Z",490
"2007-02-10T00:00:00Z",495
"2007-02-11T00:00:00Z",483
"2007-02-12T00:00:00Z",479
"2007-02-13T00:00:00Z",477
"2007-02-14T00:00:00Z",473
"2007-02-15T00:00:00Z",481
"2007-02-16T00:00:00Z",484
"2007-02-17T00:00:00Z",503
"2007-02-18T00:00:00Z",477
"2007-02-19T00:00:00Z",481
"2007-02-20T00:00:00Z",507
"2007-02-21T00:00:00Z",488
"2007-02-22T00:00:00Z",513
"2007-02-23T00:00:00Z",517
"2007-02-24T00:00:00Z",513
"2007-02-25T00:00:00Z",529
"2007-02-26T00:00:00Z",508
"2007-02-27T00:00:00Z",512
"2007-02-28T00:00:00Z",514
"2007-03-01T00:00:00Z",515
"2007-03-02T00:00:00Z",514
"2007-03-03T00:00:00Z",538
"2007-03-04T00:00:00Z",513
"2007-03-05T00:00:00Z",521
"2007-03-06T00:00:00Z",525
"2007-03-07T00:00:00Z",523
"2007-03-08T00:00:00Z",540
"2007-03-09T00:00:00Z",528
"2007-03-10T00:00:00Z",530
"2007-03-11T00:00:00Z",533
"2007-03-12T00:00:00Z",539
"2007-03-13T00:00:00Z",540
"2007-03-14T00:00:00Z",539
"2007-03-15T00:00:00Z",544
"2007-03-16T00:00:00Z",535
"2007-03-17T00:00:00Z",547
"2007-03-18T00:00:00Z",552
"2007-03-19T00:00:00Z",556
"2007-03-20T00:00:00Z",557
"2007-03-21T00:00:00Z",551
"2007-03-22T00:00:00Z",547
"2007-03-23T00:00:00Z",558
"2007-03-24T00:00:00Z",559
"2007-03-25T00:00:00Z",542
"2007-03-26T00:00:00Z",559
"2007-03-27T00:00:00Z",547
"2007-03-28T00:00:00Z",554
"2007-03-29T00:00:00Z",558
"2007-03-30T00:00:00Z",551
"2007-03-31T00:00:00Z",551
"2007-04-01T00:00:00Z",556
"2007-04-02T00:00:00Z",549
"2007-04-03T00:00:00Z",544
"2007-04-04T00:00:00Z",532
"2007-04-05T00:00:00Z",532
"2007-04-06T00:00:00Z",535
"2007-04-07T00:00:00Z",534
"2007-04-08T00:00:00Z",528
"2007-04-09T00:00:00Z",542
"2007-04-10T00:00:00Z",530
"2007-04-11T00:00:00Z",524
"2007-04-12T00:00:00Z",550
"2007-04-13T00:00:00Z",543
